artist_name,seed_song_title,search_query,query_variant,candidate_rank,video_id,candidate_title,channel_title,published_at,youtube_url,description_preview,view_count,like_count,comment_count,duration,category_id,default_language,default_audio_language,manual_valid,language_verified,is_music_video,ai_suno_related,channel_type,genre_style,manual_theme,review_notes,pipeline_status,transcript_available,transcript_language,transcript_is_generated,transcript_raw,transcript_clean,transcript_error,transcript_quality,lyric_language_verified,transcript_review_notes
Tarkan,Şımarık,Tarkan Şımarık,base,1,cpp69ghR1IM,TARKAN - Şımarık (Official Music Video),Tarkan,2012-05-01T16:28:30Z,https://www.youtube.com/watch?v=cpp69ghR1IM,1997 - TARKAN - Ölürüm Sana - Şımarık Takmış koluna elin adamını Beni orta yerimden çatlatıyor Ağzında sakızı şişirip şişirip ...,101009574,738324,3,PT3M12S,10,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript,no,,,,,"TranscriptsDisabled: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=cpp69ghR1IM! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",unavailable,no,TranscriptsDisabled
Tarkan,Kuzu Kuzu,Tarkan Kuzu Kuzu,base,1,NAHRpEqgcL4,TARKAN - Kuzu Kuzu (Official Music Video),Tarkan,2012-05-01T16:28:27Z,https://www.youtube.com/watch?v=NAHRpEqgcL4,2001 - TARKAN - Karma - Kuzu Kuzu (Original) Bak kırıldı kolum kanadım Olmadı tutunamadım Zor yokluğun çok zor Alışamadım ...,164643736,551614,30758,PT4M2S,10,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript,no,,,,,"TranscriptsDisabled: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=NAHRpEqgcL4! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",unavailable,no,TranscriptsDisabled
Tarkan,Dudu,Tarkan Dudu,base,1,SCZgGVqVsbY,TARKAN - Dudu (Official Music Video),Tarkan,2012-05-01T16:28:29Z,https://www.youtube.com/watch?v=SCZgGVqVsbY,2003 - TARKAN - Dudu Ağlamadan ayrılık olmaz Hatıralar uslu durmaz Kalanlar gideni gönlünde taşır Aşk sevene yük olmaz Biz ...,381414607,1191878,49825,PT4M24S,10,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript,yes,en,no,"There is no separation without crying Reminders do not stop The rest will be carried in your heart Love is not a burden to lover That's how we know it, live it ooo oo, she knows that ooo oo, she loves too though she knows , struggling with love brave and do what she wants freshy like a flower , precious the one flawless like the mama's milk dudu dudu her tongue suck like a liqour her eyes like an ocean this heart is favoured her turning around her she is the baby of rose whatever she's done,tolerates my heart thinking sombre ooo oo, she spends her precious ooo oo,she is sombering too though she knows , struggling with love brave and do what she wants.. dont look i am smiling see, hear but dont believe teared this heart in thousand pieces In every breathe i am inhaling In every step i am going If only there she is my precious, near to me freshy like a flower precious the one flawless like the mama's milk dudu dudu her tongue suck like a liqour her eyes like an ocean freshy like a flower precious the one flawless like the mama's milk dudu dudu her tongue suck like a liqour her eyes like an ocean I took the pains into my deep It is a right for me living like the others my heart spring is broken now there is no cure,that day i fell every day it can rain people do wrongs If we cuddle again maybe it can shines again ooo oo, she knows that ooo oo, she loves too though she knows , struggling with love brave and do what she wants freshy like a flower precious the one flawless like the mama's milk dudu dudu her tongue suck like a liqour her eyes like an ocean freshy like a flower precious the one flawless like the mama's milk dudu dudu her tongue suck like a liqour her eyes like an ocean","There is no separation without crying Reminders do not stop The rest will be carried in your heart Love is not a burden to lover That's how we know it, live it ooo oo, she knows that ooo oo, she loves too though she knows , struggling with love brave and do what she wants freshy like a flower , precious the one flawless like the mama's milk dudu dudu her tongue suck like a liqour her eyes like an ocean this heart is favoured her turning around her she is the baby of rose whatever she's done,tolerates my heart thinking sombre ooo oo, she spends her precious ooo oo,she is sombering too though she knows , struggling with love brave and do what she wants.. dont look i am smiling see, hear but dont believe teared this heart in thousand pieces In every breathe i am inhaling In every step i am going If only there she is my precious, near to me freshy like a flower precious the one flawless like the mama's milk dudu dudu her tongue suck like a liqour her eyes like an ocean freshy like a flower precious the one flawless like the mama's milk dudu dudu her tongue suck like a liqour her eyes like an ocean I took the pains into my deep It is a right for me living like the others my heart spring is broken now there is no cure,that day i fell every day it can rain people do wrongs If we cuddle again maybe it can shines again ooo oo, she knows that ooo oo, she loves too though she knows , struggling with love brave and do what she wants freshy like a flower precious the one flawless like the mama's milk dudu dudu her tongue suck like a liqour her eyes like an ocean freshy like a flower precious the one flawless like the mama's milk dudu dudu her tongue suck like a liqour her eyes like an ocean",,wrong_language,no,"Transcript language is en, not Turkish."
Mustafa Ceceli,Gül Rengi,Mustafa Ceceli Gül Rengi,base,1,NudUovOABjQ,Mustafa Ceceli - Gül Rengi,netd müzik,2015-04-07T09:08:26Z,https://www.youtube.com/watch?v=NudUovOABjQ,"Mustafa Ceceli'nin, DMC etiketiyle yayınlanan ""Kalpten"" albümünde yer alan ""Gül Rengi"" isimli şarkısı, video klibiyle netd müzik'te ...",224551994,723564,30124,PT3M47S,10,tr,tr,yes,yes,yes,no,official label,,,Selected as primary version,selected_for_transcript,yes,tr,no,Havasından suyundan aşk damlayan Yarim var gül renginde Dünyaları verseler kar etmez Olmaz ki sen denginde Havasından suyundan aşk damlayan Yarim var gül renginde Dünyaları verseler kar etmez Olmaz ki sen denginde Aşkıdır ruhumda yankılanan Duyduğum her seste O can ki sevdası sonsuzumdur Aldığım her nefeste Son aşkım ilk yarim can bildiğim Vefalı sevdiğimsin Derdimi derdinle böldüğümde Ömrümü verdiğimsin Son aşkım ilk yarim can bildiğim Vefalı sevdiğimsin Derdimi derdinle böldüğümde Ömrümü verdiğimsin Havasından suyundan aşk damlayan Yarim var gül renginde Dünyaları verseler kar etmez Olmaz ki sen denginde Aşkıdır ruhumda yankılanan Duyduğum her seste O can ki sevdası sonsuzumdur Aldığım her nefeste Son aşkım ilk yarim can bildiğim Vefalı sevdiğimsin Derdimi derdinle böldüğümde Ömrümü verdiğimsin Son aşkım ilk yarim can bildiğim Vefalı sevdiğimsin Derdimi derdinle böldüğümde Ömrümü verdiğimsin,Havasından suyundan aşk damlayan Yarim var gül renginde Dünyaları verseler kar etmez Olmaz ki sen denginde Havasından suyundan aşk damlayan Yarim var gül renginde Dünyaları verseler kar etmez Olmaz ki sen denginde Aşkıdır ruhumda yankılanan Duyduğum her seste O can ki sevdası sonsuzumdur Aldığım her nefeste Son aşkım ilk yarim can bildiğim Vefalı sevdiğimsin Derdimi derdinle böldüğümde Ömrümü verdiğimsin Son aşkım ilk yarim can bildiğim Vefalı sevdiğimsin Derdimi derdinle böldüğümde Ömrümü verdiğimsin Havasından suyundan aşk damlayan Yarim var gül renginde Dünyaları verseler kar etmez Olmaz ki sen denginde Aşkıdır ruhumda yankılanan Duyduğum her seste O can ki sevdası sonsuzumdur Aldığım her nefeste Son aşkım ilk yarim can bildiğim Vefalı sevdiğimsin Derdimi derdinle böldüğümde Ömrümü verdiğimsin Son aşkım ilk yarim can bildiğim Vefalı sevdiğimsin Derdimi derdinle böldüğümde Ömrümü verdiğimsin,,needs_manual_review,yes,Turkish transcript available; inspect lyric accuracy.
Mustafa Ceceli,Sultanım,Mustafa Ceceli Sultanım,base,1,tuAYyDO5fEs,Mustafa Ceceli - Sultanım,netd müzik,2015-12-01T10:00:02Z,https://www.youtube.com/watch?v=tuAYyDO5fEs,"Mustafa Ceceli'nin, Ceceli Müzik Prodüksiyon etiketiyle yayınlanan ""Aşk İçin Gelmişiz"" albümünde yer alan ""Sultanım"" isimli ...",162325074,521173,27491,PT4M47S,10,tr,tr,yes,yes,yes,no,official label,,,Selected as primary version,selected_for_transcript,yes,tr,no,"Can yakan gözlerini, bak görmeye geldim Abu hayat sözlerinle gül olup yeşermeye geldim Abu hayat sözlerinle gül olup yeşermeye geldim Ben aciz ben yarım, sana tamam olmaya geldim Şeyda bülbüller gibi, gül dalına konmaya geldim Şeyda bülbüller gibi, gül dalına konmaya geldim Yanar içim, senden öteye yer yok Yanar sözlerim, bakamam gözlerine Canımdan başka servetim yokken Canımdan geçmeye geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Canımdan başka servetim yokken Canımdan geçmeye geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Dağ taş toprak iken, umman olmaya geldim Aşksız biçareyken, kendimi bulmaya geldim Aşksız biçareyken, kendimi bulmaya geldim Yalana meyil ederken gerçeği görmeye geldim Yaşayan bir ölüyken gönlünde doğmaya geldim Yaşayan bir ölüyken gönlünde doğmaya geldim Yanar içim senden öteye yer yok Yanar sözlerim bakamam gözlerine Canımdan başka servetim yokken Canımdan geçmeye geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Canımdan başka servetim yokken Canımdan geçmeye geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim","Can yakan gözlerini, bak görmeye geldim Abu hayat sözlerinle gül olup yeşermeye geldim Abu hayat sözlerinle gül olup yeşermeye geldim Ben aciz ben yarım, sana tamam olmaya geldim Şeyda bülbüller gibi, gül dalına konmaya geldim Şeyda bülbüller gibi, gül dalına konmaya geldim Yanar içim, senden öteye yer yok Yanar sözlerim, bakamam gözlerine Canımdan başka servetim yokken Canımdan geçmeye geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Canımdan başka servetim yokken Canımdan geçmeye geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Dağ taş toprak iken, umman olmaya geldim Aşksız biçareyken, kendimi bulmaya geldim Aşksız biçareyken, kendimi bulmaya geldim Yalana meyil ederken gerçeği görmeye geldim Yaşayan bir ölüyken gönlünde doğmaya geldim Yaşayan bir ölüyken gönlünde doğmaya geldim Yanar içim senden öteye yer yok Yanar sözlerim bakamam gözlerine Canımdan başka servetim yokken Canımdan geçmeye geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Canımdan başka servetim yokken Canımdan geçmeye geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim",,needs_manual_review,yes,Turkish transcript available; inspect lyric accuracy.
Müslüm Gürses,Vay Canım Vay,Müslüm Gürses Vay Canım Vay,base,1,NBy3GXENQYU,Müslüm Gürses - Vay Canım Vay,Tanju Güney,2013-03-06T15:43:32Z,https://www.youtube.com/watch?v=NBy3GXENQYU,sen şarkılarınlan yaşayacaksın müslüm baba...,3394430,18628,947,PT4M56S,10,tr,,yes,yes,yes,no,fan / archive,,,Selected as primary version,selected_for_transcript,yes,tr,yes,[Müzik] [Müzik] [Müzik] nasıl bir sevdaya düştü Vay canım V Vay canım var vay canım vay vay bir zalim eline düştüm vay canım vay vay canım Vay Vay Ömrüm Vay vay bir zalim eline düştüm vay canım vay vay canım vay Vay Ömrüm Vay vay beni yüz yerden vursalar Vay canım vay vay canım vay vay canım vay vay üzülmem dillere düştü vay canım vay vay canım vay Vay Ömrüm Vay [Müzik] vay üzülmem dillere düş vay canım vay vay canım vay Vay Ömrüm Vay Vay [Müzik] [Müzik] [Müzik] [Müzik] ateş düştü içerime Vay canım var Vay canım V vay canım vay vay neler ettiler gönlüme vay canım vay vay canım vay Vay Ömrüm Vay vay Neler ettiler gönlüme vay canım vay vay canım vay Vay Ömrüm vay vay Ben Seni Böyle mi Sevdim Vay canım var Vay canım var vay canım vay vay götürdün beni ölüme vay canım vay vay canım Vay Vay Ömrüm Vay vay götürdün beni ölüme vay canım vay vay canım vay Kayım vay [Müzik] vay oh [Müzik] [Müzik],nasıl bir sevdaya düştü Vay canım V Vay canım var vay canım vay vay bir zalim eline düştüm vay canım vay vay canım Vay Vay Ömrüm Vay vay bir zalim eline düştüm vay canım vay vay canım vay Vay Ömrüm Vay vay beni yüz yerden vursalar Vay canım vay vay canım vay vay canım vay vay üzülmem dillere düştü vay canım vay vay canım vay Vay Ömrüm Vay vay üzülmem dillere düş vay canım vay vay canım vay Vay Ömrüm Vay Vay ateş düştü içerime Vay canım var Vay canım V vay canım vay vay neler ettiler gönlüme vay canım vay vay canım vay Vay Ömrüm Vay vay Neler ettiler gönlüme vay canım vay vay canım vay Vay Ömrüm vay vay Ben Seni Böyle mi Sevdim Vay canım var Vay canım var vay canım vay vay götürdün beni ölüme vay canım vay vay canım Vay Vay Ömrüm Vay vay götürdün beni ölüme vay canım vay vay canım vay Kayım vay vay oh,,needs_manual_review,yes,Turkish auto-generated transcript; check recognition noise.
Müslüm Gürses,Nilüfer,Müslüm Gürses Nilüfer,base,3,nEMHRfPBaxE,Nilüfer,Release - Topic,2025-01-10T01:00:06Z,https://www.youtube.com/watch?v=nEMHRfPBaxE,Provided to YouTube by PASAJ Nilüfer · Müslüm Gürses Aşk Tesadüfleri Sever (Mucize ve Buluşma) ℗ PASAJ Released on: ...,37795299,92897,0,PT4M19S,10,tr,,yes,yes,yes,no,topic,,,Selected as primary version,selected_for_transcript,no,,,,,"TranscriptsDisabled: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=nEMHRfPBaxE! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",unavailable,no,TranscriptsDisabled
İbrahim Tatlıses,Aramam,İbrahim Tatlıses Aramam,base,1,VNZuTrvXfPE,İbrahim Tatlıses - Aramam,netd müzik,2014-03-04T08:55:07Z,https://www.youtube.com/watch?v=VNZuTrvXfPE,"İbrahim Tatlıses'in, DMC etiketiyle yayınlanan ""Aramam"" albümünde yer alan ""Aramam"" isimli şarkısı, netd müzik'te! Söz & Müzik: ...",139005517,704517,23946,PT4M56S,10,tr,tr,yes,yes,yes,no,official label,,,Selected as primary version,selected_for_transcript,yes,tr,no,"Çağırsaydın gelmez miydim yar Senin için ölmez miydim yar Dünyayı ters etmez miydim yar Aramam Aramam Aramam Aramam sormam bir daha Yalvarsan bile Allah'a Çıkmasa gecem sabaha, aramam Peşinden geldim kaç kere? Dünyamı yıktın bin kere Kırıldım sana bir kere, aramam Seviyorsun, ben de seni yar Çok özledim, ben de seni yar Aramadım, ben de seni yar Aramam Aramam Aramam Aramam sormam bir daha Yalvarsan bile Allah'a Çıkmasa gecem sabah'a, aramam Peşinden geldim kaç kere? Dünyamı yıktın bin kere Kırıldım sana bir kere, aramam Gözyaşlarım sele döndü yar Ayrılanlar geri döndü yar Leylek baba bile döndü yar Aramam Aramam Aramam Aramam sormam bir daha Yalvarsan bile Allah'a Çıkmasa gecem sabaha, aramam Peşinden geldim kaç kere? Dünyamı yıktın bin kere Kırıldım sana bir kere, aramam","Çağırsaydın gelmez miydim yar Senin için ölmez miydim yar Dünyayı ters etmez miydim yar Aramam Aramam Aramam Aramam sormam bir daha Yalvarsan bile Allah'a Çıkmasa gecem sabaha, aramam Peşinden geldim kaç kere? Dünyamı yıktın bin kere Kırıldım sana bir kere, aramam Seviyorsun, ben de seni yar Çok özledim, ben de seni yar Aramadım, ben de seni yar Aramam Aramam Aramam Aramam sormam bir daha Yalvarsan bile Allah'a Çıkmasa gecem sabah'a, aramam Peşinden geldim kaç kere? Dünyamı yıktın bin kere Kırıldım sana bir kere, aramam Gözyaşlarım sele döndü yar Ayrılanlar geri döndü yar Leylek baba bile döndü yar Aramam Aramam Aramam Aramam sormam bir daha Yalvarsan bile Allah'a Çıkmasa gecem sabaha, aramam Peşinden geldim kaç kere? Dünyamı yıktın bin kere Kırıldım sana bir kere, aramam",,needs_manual_review,yes,Turkish transcript available; inspect lyric accuracy.
İbrahim Tatlıses,Mavi Mavi,İbrahim Tatlıses Mavi Mavi,base,1,rQWmwR5f5lA,Mavi Mavi,İbrahim Tatlıses - Topic,2025-03-28T16:20:47Z,https://www.youtube.com/watch?v=rQWmwR5f5lA,Provided to YouTube by Virgin Music Group Mavi Mavi · İbrahim Tatlıses Mavi Mavi ℗ 2017 Seyhan Müzik Released on: ...,2975248,10429,182,PT3M33S,10,tr,,yes,yes,yes,no,topic,,,Selected as primary version,selected_for_transcript,no,,,,,"TranscriptsDisabled: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=rQWmwR5f5lA! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",unavailable,no,TranscriptsDisabled
Selda Bağcan,Gesi Bağları,Selda Bağcan Gesi Bağları,base,3,26jAqWhrrwQ,Selda Bağcan - Gesi Bağları (Türkülerimiz - 1),Selda Bağcan,2014-12-22T13:26:01Z,https://www.youtube.com/watch?v=26jAqWhrrwQ,"Selda Bağcan, Gesi Bağları şarkısı sizlerle. Büyük ustanın tüm şarkılarını siz değerli dinleyicilerle resmi kanalında buluşturuyoruz.",11813240,48794,1524,PT3M34S,22,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript,no,,,,,"NoTranscriptFound: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=26jAqWhrrwQ! This is most likely caused by:

No transcripts were found for any of the requested language codes: ['tr', 'en']

For this video (26jAqWhrrwQ) transcripts are available in the following languages:

(MANUALLY CREATED)
None

(GENERATED)
 - ar (""Arabic (auto-generated)"")

(TRANSLATION LANGUAGES)
None

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",unavailable,no,NoTranscriptFound
Selda Bağcan,İnce İnce Bir Kar Yağar,Selda Bağcan İnce İnce Bir Kar Yağar,base,1,IDivHyd3Ks4,Selda Bağcan - İnce İnce Bir Kar Yağar (Resmi Şarkı Sözleri Videosu),Selda Bağcan,2025-04-18T13:22:23Z,https://www.youtube.com/watch?v=IDivHyd3Ks4,"1976 yılında kaydettiğimiz, 'Türkülerimiz -1' isimli albümümde de yer alan 'İnce İnce' yeni videosuyla yayında. Keyifli seyirler.",248355,1613,37,PT3M46S,10,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript,yes,tr,yes,"[Alkış] [Müzik] İnce ince bir karar fakirlerin üstüne neden felek inanmıyor fıkaranın sözünü? Öldük öldük biz açlıktan net ve [Alkış] aman kimi bu kimi bize tahsin haramdır. Dayanamam artık senin bu yalancı pozuna. Yandık, yandık bize okul, bize yol, bize hayat etme. Ne olur ne olur ne olur ne olur ne olur ne olur. Adam ölür yol yapılınca, okul olunca, hayat bulunca ne olur? Ne olur ne olur ne olur? [Müzik] [Alkış] Alır. İstanbul'un benzemiyor neden Urfalara? Yoksun Maraş susuz Urfa yarı Diyarbakırları. Yandık yandık öldük öldük bir yadım su etmem. Ne olur? [Alkış] Öldük öldük bir mektup yaz yapmam. Ne olur ne olur ne olur ne olur ne olur ne olur adam ölür toprak verince insan sevince kendin gülünce ne olur ne olur ne olur ne olur ne olur [Müzik] [Alkış] [Müzik] [Müzik] [Alkış] [Müzik] [Alkış] Oh Sen alandan ben babamdan a doğadık dostum. Gel beraber yaşayalım. Sanmak sana küstüm. Yandım yandım. Hayır gezme etme kardeş. Ne olur ne olur ne olur ne olur ne olur ne olur adam bu ölür toprak verince borç ödeyince kendin bilince ne olur ne olur ne olur kardeş ne olur [Alkış] [Müzik] [Alkış] [Müzik]","İnce ince bir karar fakirlerin üstüne neden felek inanmıyor fıkaranın sözünü? Öldük öldük biz açlıktan net ve aman kimi bu kimi bize tahsin haramdır. Dayanamam artık senin bu yalancı pozuna. Yandık, yandık bize okul, bize yol, bize hayat etme. Ne olur ne olur ne olur ne olur ne olur ne olur. Adam ölür yol yapılınca, okul olunca, hayat bulunca ne olur? Ne olur ne olur ne olur? Alır. İstanbul'un benzemiyor neden Urfalara? Yoksun Maraş susuz Urfa yarı Diyarbakırları. Yandık yandık öldük öldük bir yadım su etmem. Ne olur? Öldük öldük bir mektup yaz yapmam. Ne olur ne olur ne olur ne olur ne olur ne olur adam ölür toprak verince insan sevince kendin gülünce ne olur ne olur ne olur ne olur ne olur Oh Sen alandan ben babamdan a doğadık dostum. Gel beraber yaşayalım. Sanmak sana küstüm. Yandım yandım. Hayır gezme etme kardeş. Ne olur ne olur ne olur ne olur ne olur ne olur adam bu ölür toprak verince borç ödeyince kendin bilince ne olur ne olur ne olur kardeş ne olur",,needs_manual_review,yes,Turkish auto-generated transcript; check recognition noise.
Neşet Ertaş,Gönül Dağı,Neşet Ertaş Gönül Dağı,base,1,aXLj7rM6UQQ,Neşet Ertaş - Gönül Dağı I Bozkırın Tezenesi © 2020 Kalan Müzik,Kalan Müzik,2020-11-20T09:15:00Z,https://www.youtube.com/watch?v=aXLj7rM6UQQ,Şarkıyı Playlist'e Kaydetmek İçin: https://orcd.co/bozkirintezenesi Neşet Ertaş'ın tüm şarkıları burada: https://bit.ly/3xXSS0Z Kalan ...,34848109,138619,6004,PT5M4S,10,tr,tr,yes,yes,yes,no,official label,,,Selected as primary version,selected_for_transcript,yes,tr,yes,ha ha hu hu hu hu hu hu hu hu hu Gönül Dağı Yağmur Yağmur Boran olunca akar Can özümde isev gizli giy bu gizli Bir Tenhada Can Can anı bulunca Sinan'a mı yaralar yar oy yar oy yar A yar A yar A yar oy dilgizli kizlik bil gizli gizli ya Sinan'a mı yaralar yar oy yar oy yar A yar ay yaroy yaroy dil gizli gizli dil gizli gizli ya o Hı hı vız oldum Dost Elinden gel olmazsa varım az rızasız Bahçanın gülü derim Ez Kalpten Kalbe Bir Yol Vardır görünmez [Müzik] gönülden gönüle gider Yar oluyor yar oy yar oy yar ay Yol Gizli Gizli lik Yol Gizli Gizli yani canımı den gölle yaroy yaroy bu Saray yar ay yaroy yaroy Yol Gizli Gizli Yol Gizli kisili seher vakti Garip Garip Bülbül öterken ki de beklerim uhu yar yar cana batarken cümle Alev uyku hususunda yatarken kimseler görmeden yar oy yar oy yar oy yar oy yar oy yar oy Gel Gizli Gizli Lig Gel Gizli Gizli hayratlar görmeden yaroy yaroy yaroy yaroy yaroy yaroy gel gizli gizli Gel gizli kizin mi abone ol,ha ha hu hu hu hu hu hu hu hu hu Gönül Dağı Yağmur Yağmur Boran olunca akar Can özümde isev gizli giy bu gizli Bir Tenhada Can Can anı bulunca Sinan'a mı yaralar yar oy yar oy yar A yar A yar A yar oy dilgizli kizlik bil gizli gizli ya Sinan'a mı yaralar yar oy yar oy yar A yar ay yaroy yaroy dil gizli gizli dil gizli gizli ya o Hı hı vız oldum Dost Elinden gel olmazsa varım az rızasız Bahçanın gülü derim Ez Kalpten Kalbe Bir Yol Vardır görünmez gönülden gönüle gider Yar oluyor yar oy yar oy yar ay Yol Gizli Gizli lik Yol Gizli Gizli yani canımı den gölle yaroy yaroy bu Saray yar ay yaroy yaroy Yol Gizli Gizli Yol Gizli kisili seher vakti Garip Garip Bülbül öterken ki de beklerim uhu yar yar cana batarken cümle Alev uyku hususunda yatarken kimseler görmeden yar oy yar oy yar oy yar oy yar oy yar oy Gel Gizli Gizli Lig Gel Gizli Gizli hayratlar görmeden yaroy yaroy yaroy yaroy yaroy yaroy gel gizli gizli Gel gizli kizin mi abone ol,,needs_manual_review,yes,Turkish auto-generated transcript; check recognition noise.
Neşet Ertaş,Zahidem,Neşet Ertaş Zahidem,base,3,iGgdc8nS4Ss,Neşet Ertaş - Zahide,Bayar Müzik,2016-09-09T08:50:59Z,https://www.youtube.com/watch?v=iGgdc8nS4Ss,İndirmek İçin; http://bit.ly/NesetErtas98 Dinlemek İçin; http://bit.ly/NesetErtas98SP Zahide Söz & Müzik: Neşet Ertaş Zahide ...,674548,4069,237,PT7M10S,10,tr,tr,yes,yes,yes,no,official label,,,Selected as primary version,selected_for_transcript,no,,,,,"TranscriptsDisabled: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=iGgdc8nS4Ss! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",unavailable,no,TranscriptsDisabled
Sezen Aksu,Gülümse,Sezen Aksu Gülümse,base,1,qgfLk8Uksxo,Sezen Aksu - Gülümse (Official Video),Sezen Aksu,2012-05-29T03:47:25Z,https://www.youtube.com/watch?v=qgfLk8Uksxo,"""Gülümse"" (Gülümse - 1991) Yönetmen: Samim Değer Söz: Kemal Burkay Beste: Arto Tunçboyacı Gülümse, hadi gülümse ...",6601187,39159,1821,PT5M,10,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript,no,,,,,"TranscriptsDisabled: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=qgfLk8Uksxo! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",unavailable,no,TranscriptsDisabled
